,date,text
99,2020-11-11 16:33:53,""" أخبرني كارلو أنشيلوتي بأنني أحد أفضل ١٠ مهاجمين دربهم و بأنني سأفوز بالكرة الذهبية و سأكون هداف العديد من البطولات ""

🔵 مهاجم إيڤرتون البرازيلي ريتشارليسون https://t.co/dBsZrUyZO4"
100,2020-11-11 16:33:20,عندما كانا بسن الـ ٨ تمنى أصدقاء الطفولة جاك غريليش و كالوم روبنسون لعب مباريات دولية بعد أن كانا يلعبان بحديقة منزل جاك كأطفال ، لعب غريليش بالمراحل السنية لإيرلندا و لعب روبنسون بالمراحل السنية لإنجلترا و ذلك قبل أن يبدلا ولاءاتهما و قبل أن يلتقيا غداً بملعب ويمبلي الدولي .. https://t.co/ZXbbmR7zf0
101,2020-11-11 16:32:36,"📊 أصغر لاعبي المنتخب الإنجليزي 🏴󠁧󠁢󠁥󠁮󠁧󠁿 :

• ثيو والكوت ( ١٧ سنة - ٧٥ يوم )
• واين روني ( ١٧ سنة - ١١١ يوم )
• جود بيلينغهام ( ١٧ سنة - ١٣٥ يوم ) *
• جيمس برينسيب ( ١٧ سنة - ٢٥٢ يوم )
• ثورستون روسترون ( ١٧ سنة - ٣١١ يوم )
• رحيم ستيرلنغ ( ١٧ سنة - ٣٤٢ يوم )

* لو شارك غداً https://t.co/as9ZNW8W64"
102,2020-11-11 16:31:04,يرى نجم تشيلسي ميسون ماونت بأن المقارنة بينه و بين جاك غريليش غير عادلة و ذلك رداً على البعض الذي يعتقد بأن هناك منافسة شخصية و أن على غاريث ساوثغيت البدأ بأحدهما بالمنتخب الوطني ، يثق ماونت بأنهما قادران على المشاركة معاً على أن يلعب هو بمركز مختلف عن مركز لاعب وسط أستون ڤيلا .. https://t.co/qbxZnAnBpv
103,2020-11-11 16:10:58,"كروس عن دوري السوبر الاوروبي والتي يخطط كل من الفيفا و اليويفا من اجل عملها: 

للاسف نحن اللاعبين لا نملك القرار ، بل نحن عبارة عن دمى بيد اليويفا و الفيفا ، لو نملك تحالف لاعبين لما لعبنا في الامم الاوربية او كأس السوبر الاسباني في السعودية ‼️ https://t.co/36S1m1Mpjh"
104,2020-11-11 16:06:42,"فان دايك ❌
جوميز ❌
ارنولد ❌
فابينهو ❌

ما الذي اصاب دفاع ليفربول ❗️😳 https://t.co/JZSjwpqxsf"
105,2020-11-11 23:38:46,ديباي: برشلونة؟ من لا يريد اللعب في هذا النادي
106,2020-11-11 21:37:53,لمن تابع مباراة هولندا وإسبانيا ، رأيكم في ايريك غاريثا وممفيس ديباي؟
107,2020-11-11 18:30:18,قمة كبيرة بين هولندا و اسبانيا في أمستردام 👌🏟🔥 https://t.co/epd9B0TS2d
108,2020-11-11 15:42:30,في مثل هذه اللحظات تتجدد الطاقة الذهنية لخوض ما هو قادم، كم هي جميلة أمستردام التي قد تمشي فيها لساعات دون ان تشعر بالملل 👌🇳🇱 https://t.co/bUOmMbWk6q
109,2020-11-12 14:40:00,"#لقاح_كورونا سيكون أكثر منتجات فايزر الطبية مبيعاً، وستتخطى مبيعاته منتج لقاح الالتهاب الرئوي الأكثر شهرة

الرابط البديل: https://t.co/SEaHyDd5D9
#معاً_نعزل_كورونا
https://t.co/EvqP5WVObU"
110,2020-11-12 14:30:00,"الأسواق الأردنية تشهد حالة من الفوضى والارتباك وزيادة كبيرة في أسعار السلع الضرورية بسبب قرار الحظر الشامل

الرابط البديل: https://t.co/MkO1TnAy6P
#الأردن
https://t.co/pUgtXkWntD"
111,2020-11-12 14:20:00,"الأزمة الاقتصادية في #تونس تزيد المسؤولية المالية للمواطنين في المهجر نحو ذويهم

الرابط البديل: https://t.co/DNU6A9pvcG

https://t.co/7KXElwlwKb"
112,2020-11-12 14:12:39,"#عاجل | مراسل ""العربي الجديد"": مقتل عامل مصري بمطار العريش العسكري برصاص تنظيم ""ولاية سيناء"" الإرهابي"
113,2020-11-12 14:10:00,"البرلمان العراقي يُنهي جدل أزمة الرواتب المتأخرة، بالتصويت على قانون الاقتراض بعد خلافات بين القوى السياسية

الرابط البديل: https://t.co/FtZnnYVEnR

https://t.co/rqvP5aQ365"
114,2020-11-12 14:00:00,"هكذا حولت مجموعة من النساء مكبات النفايات إلى حدائق مصغرة للاستجمام والاجتماعات للمناقشات👇

الرابط البديل: https://t.co/KGCD0u0gIP

https://t.co/lx2XmHcn18"
